BASE_YM,HNDE_BANK_RPTV_CODE,OPENBANK_RPTV_CODE,FND_TPCD,TRAN_AMT
202107,ZDD,TGT,4,40176000
202107,ZDD,FYT,4,11640000
202107,ZDD,JOR,1,25140000
202107,ZDD,SMH,1,3150000
202107,ZDD,AIG,1,48347000
202107,ZDD,PNA,0,2147355000
202107,ZDD,HZI,13,37640000
202107,ZDD,EEB,13,5690000
202107,ZDD,ZVX,11,1119000
202107,ZDD,HZO,11,15434000
202107,ZDD,EEB,15,1440000
202107,ZDD,HZO,15,120000
202107,ZDD,EEB,16,6100000
202107,ZDD,KYG,16,200000
202107,ZDD,CVN,11,7886000
202107,ZDD,KYG,11,125000
202107,ZDD,GPM,11,493000
202107,ZDD,VEA,13,12610000
202107,ZDD,CVN,15,200000
202107,ZDD,IEK,15,1320000
202107,ZDD,VEA,15,4090000
202107,ZDD,IUR,16,8550000
202107,ZDD,SHK,16,2350000
202107,ZDD,HZI,16,23783000
202107,ZDD,VEA,16,7300000
202107,ZDD,HZO,16,400000
202107,ZDD,CAZ,16,12300000
202107,ZDD,BVI,16,700000
202107,ZDD,QDF,11,1331000
202107,ZDD,IUR,15,1890000
202107,ZDD,JVP,15,200000
202107,ZDD,CAZ,15,10000000
202107,ZDD,QDF,15,40000
202107,ZDD,HZI,15,10610000
202107,ZDD,SHK,15,280000
202107,ZDD,BVI,15,440000
202107,ZDD,SHK,11,17636000
202107,ZDD,FYT,11,118000
202107,ZDD,TGT,11,747000
202107,ZDD,IUR,13,7650000
202107,ZDD,IEK,13,8590000
202107,ZDD,JVP,13,1970000
202107,ZDD,HZO,13,380000
202107,ZDD,SHK,13,1310000
202107,ZDD,BVI,13,2700000
202107,ZDD,KCK,1,3090000
202107,ZDD,CVN,16,100000
202107,ZDD,SIF,4,8253000
202107,ZDD,SMH,4,955000
202107,ZDD,FLX,4,9418000
202107,ZDD,GPM,1,26378000
202107,ZDD,JVP,11,13318000
202107,ZDD,DSJ,0,5999000
202107,ZDD,IDN,3,221000
202107,ZDD,IUR,27,300000
202107,ZDD,CAZ,13,26060000
202107,ZDD,IEK,16,3800000
202107,ZDD,QOB,4,4630000
202107,ZDD,TZF,0,77710000
202107,ZDD,ZFS,4,19004000
202107,ZDD,HQI,4,6506000
202107,ZDD,SCD,4,8910000
202107,ZDD,JOR,4,32680000
202107,ZDD,GPM,4,29573000
202107,ZDD,NXL,4,9995000
202107,ZDD,IDN,4,38479000
202107,ZDD,ZVX,4,52921000
202107,ZDD,UXE,0,80090000
202107,ZDD,CVN,23,1500000
202107,ZDD,EEB,12,43336000
202107,ZDD,SHK,23,300000
202107,ZDD,XIE,1,114496000
202107,ZDD,QOB,1,1920000
202107,ZDD,SCD,1,28426000
202107,ZDD,IUR,12,47478000
202107,ZDD,CAZ,12,201871000
202107,ZDD,JVP,12,5727000
202107,ZDD,SHK,12,12864000
202107,ZDD,ZFS,1,42829000
202107,ZDD,VEA,14,2370000
202107,ZDD,SXR,0,82150000
202107,ZDD,EEB,14,2370000
202107,ZDD,MIQ,1,19586000
202107,ZDD,SSR,4,10000
202107,ZDD,HZI,12,231422000
202107,ZDD,IUR,23,2100000
202107,ZDD,IEK,23,800000
202107,ZDD,CAZ,23,1600000
202107,ZDD,HZO,12,2498000
202107,ZDD,HZI,23,3400000
202107,ZDD,ZVX,12,589000
202107,ZDD,FLX,1,29460000
202107,ZDD,JVP,23,100000
202107,ZDD,KYG,12,282000
202107,ZDD,BVI,12,9651000
202107,ZDD,VEA,23,600000
202107,ZDD,HZO,23,100000
202107,ZDD,EEB,23,600000
202107,ZDD,QDF,12,300000
202107,ZDD,CVN,12,7706000
202107,ZDD,IEK,12,26575000
202107,ZDD,VEA,12,90262000
202107,ZDD,IUR,14,1896000
202107,ZDD,NXL,1,24920000
202107,ZDD,IDN,1,27126000
202107,ZDD,BVI,14,474000
202107,ZDD,KFW,4,10000
202107,ZDD,TCH,0,17060000
202107,ZDD,PNA,4,10000
202107,ZDD,IEK,11,78933000
202107,ZDD,XDG,0,50000
202107,ZDD,AXQ,4,2000000
202107,ZDD,KCK,4,1837000
202107,ZDD,UXE,4,2650000
202107,ZDD,YCA,1,8340000
202107,ZDD,HQI,1,4878000
202107,ZDD,WZU,0,1095000
202107,ZDD,YNB,4,10000
202107,ZDD,HNR,0,1950000
202107,ZDD,EEB,11,106503000
202107,ZDD,HZI,11,691778000
202107,ZDD,IUR,11,172959000
202107,ZDD,CAZ,11,516009000
202107,ZDD,BVI,11,23727000
202107,ZDD,VEA,11,252084000
202107,ZDD,HZO,14,948000
202107,ZDD,WHF,4,1310000
202107,ZDD,JOR,3,170000
202107,ZDD,YCA,4,9560000
202107,ZDD,RBR,4,1400000
202107,ZDD,RII,4,14316000
202107,ZDD,QDF,4,23139000
202107,ZDD,AIG,4,22109000
202107,ZDD,CBX,4,299484000
202107,ZDD,IEK,4,1809929000
202107,ZDD,EEB,4,1346958000
202107,ZDD,ZVX,1,6902284000
202107,ZDD,CAZ,14,8942000
202107,ZDD,TGT,1,102170000
202107,ZDD,EEB,1,796396000
202107,ZDD,VEA,4,12382202000
202107,ZDD,HZI,4,2203167000
202107,ZDD,KYG,1,639113000
202107,ZDD,CVN,1,8732660000
202107,ZDD,SHK,1,8475346000
202107,ZDD,IUR,1,3315538000
202107,ZDD,AHN,1,101498000
202107,ZDD,JVP,1,3256439000
202107,ZDD,BVI,1,8846969000
202107,ZDD,VEA,1,22552815000
202107,ZDD,XIE,3,2079000
202107,ZDD,FLX,3,411000
202107,ZDD,SCD,3,365000
202107,ZDD,TGT,3,87930000
202107,ZDD,IUR,3,19457000
202107,ZDD,QDF,3,9312000
202107,ZDD,ZVX,3,10699000
202107,ZDD,JVP,3,43308000
202107,ZDD,CBX,3,14292000
202107,ZDD,SHK,3,150437000
202107,ZDD,VEA,3,646131000
202107,ZDD,HZI,1,13519834000
202107,ZDD,MIQ,4,52004000
202107,ZDD,AHN,4,36349000
202107,ZDD,CVN,4,897519000
202107,ZDD,SHK,4,882164000
202107,ZDD,FYT,1,60371000
202107,ZDD,RII,3,5877000
202107,ZDD,XIE,4,52516000
202107,ZDD,QDF,1,62784000
202107,ZDD,HZO,1,308487000
202107,ZDD,FYT,3,7559000
202107,ZDD,IEK,1,18740757000
202107,ZDD,AHN,3,405000
202107,ZDD,KYG,3,16403000
202107,ZDD,HZO,4,195656000
202107,ZDD,BVI,4,691454000
202107,ZDD,KYG,4,155713000
202107,ZDD,HZI,14,11722000
202107,ZDD,EEB,3,12288000
202107,ZDD,JVP,4,337368000
202107,ZDD,IUR,4,1187758000
202107,ZDD,RII,1,65269000
202107,ZDD,CAZ,1,2353547000
202107,ZDD,CBX,1,1333649000
202107,ZDD,CVN,3,563674000
202107,ZDD,HZO,3,1934000
202107,ZDD,HZI,3,99896000
202107,ZDD,CAZ,3,18607000
202107,ZDD,IEK,3,150534000
202107,ZDD,CAZ,4,352167000
202107,ZDD,JOR,0,21856607000
202107,ZDD,FYT,0,13843847000
202107,ZDD,SCD,0,1864055000
202107,ZDD,RII,0,19525024000
202107,ZDD,HQI,0,18486742000
202107,ZDD,SMH,0,3816593000
202107,ZDD,XIE,0,12192497000
202107,ZDD,MIQ,0,39355843000
202107,ZDD,AIG,0,52524686000
202107,ZDD,AXQ,0,1794569000
202107,ZDD,SIF,0,11460414000
202107,ZDD,HZO,0,68836848000
202107,ZDD,BVI,0,653950105000
202107,ZDD,IUR,0,160212652000
202107,ZDD,CAZ,0,42235068000
202107,ZDD,EEB,0,274184471000
202107,ZDD,JVP,0,344480674000
202107,ZDD,KYG,0,75007386000
202107,ZDD,IDN,0,20810409000
202107,ZDD,TGT,0,23680098000
202107,ZDD,ZVX,0,40561320000
202107,ZDD,CVN,0,348595306000
202107,ZDD,SHK,0,476883673000
202107,ZDD,CBX,0,83425631000
202107,ZDD,IEK,0,602425349000
202107,ZDD,QDF,0,74090616000
202107,ZDD,HZI,0,410560510000
202107,ZDD,VEA,0,489589545000
202107,ZDD,AHN,0,19008426000
202107,ZDD,FLX,0,916400000
202107,ZDD,NXL,0,33835428000
202107,ZDD,GPM,0,2334561000
202107,ZDD,YUJ,0,1297354000
202107,ZDD,BVI,3,7234273000
202107,ZDD,YCA,0,7123910000
202107,ZDD,WHF,0,840104000
202107,ZDD,KCK,0,1643767000
202107,ZDD,SSR,0,374761000
202107,ZDD,UJN,0,5610637000
202107,ZDD,QOB,0,469438000
202107,ZDD,ZFS,0,3651393000
202107,ZDD,RBR,0,579207000
202107,ZDD,IGI,0,1360585000
202107,ZDD,AZR,0,212716000
202107,ZDD,YNB,0,360529000
202107,ZDD,RLM,0,14875000
202107,ZDD,KFW,0,71243000
202107,ZDD,QIM,0,2282387000
202108,ZDD,IEK,12,26847000
202108,ZDD,VEA,12,90382000
202108,ZDD,IUR,12,49213000
202108,ZDD,IEK,23,800000
202108,ZDD,NXL,1,18640000
202108,ZDD,HZI,12,234211000
202108,ZDD,QOB,1,1920000
202108,ZDD,CAZ,12,205127000
202108,ZDD,JVP,12,5727000
202108,ZDD,HZO,12,2798000
202108,ZDD,CAZ,23,1500000
202108,ZDD,CVN,12,8606000
202108,ZDD,UJN,1,15100000
202108,ZDD,HZI,23,3700000
202108,ZDD,SHK,12,13702000
202108,ZDD,GPM,3,589000
202108,ZDD,BVI,12,10251000
202108,ZDD,EEB,23,700000
202108,ZDD,SHK,23,300000
202108,ZDD,IUR,23,1900000
202108,ZDD,VEA,23,800000
202108,ZDD,ZVX,12,589000
202108,ZDD,WHF,4,3310000
202108,ZDD,SCD,1,23515000
202108,ZDD,DSJ,0,88771000
202108,ZDD,QDF,1,61963000
202108,ZDD,HZO,23,100000
202108,ZDD,EEB,12,45022000
202108,ZDD,JVP,23,100000
202108,ZDD,CVN,23,1500000
202108,ZDD,HNR,0,20000
202108,ZDD,QDF,12,300000
202108,ZDD,ZVX,14,300000
202108,ZDD,CAZ,16,12700000
202108,ZDD,CAZ,15,10040000
202108,ZDD,HZI,16,23350000
202108,ZDD,VEA,11,248034000
202108,ZDD,IDN,1,26620000
202108,ZDD,SCD,3,209000
202108,ZDD,IUR,11,170562000
202108,ZDD,KCK,1,3090000
202108,ZDD,HZI,15,10690000
202108,ZDD,IUR,15,2050000
202108,ZDD,VEA,16,7500000
202108,ZDD,JVP,15,240000
202108,ZDD,HZO,15,120000
202108,ZDD,SHK,11,17770000
202108,ZDD,SHK,15,320000
202108,ZDD,EEB,15,1430000
202108,ZDD,EEB,16,5700000
202108,ZDD,BVI,15,440000
202108,ZDD,BVI,16,700000
202108,ZDD,EEB,11,110783000
202108,ZDD,RII,1,77091000
202108,ZDD,KYG,11,125000
202108,ZDD,HZI,11,713061000
202108,ZDD,CAZ,11,528070000
202108,ZDD,IEK,11,81971000
202108,ZDD,CVN,11,7336000
202108,ZDD,JVP,11,13839000
202108,ZDD,QDF,11,1331000
202108,ZDD,GPM,11,493000
202108,ZDD,JOR,3,60000
202108,ZDD,IDN,3,151000
202108,ZDD,TCH,0,34321000
202108,ZDD,QOB,4,4630000
202108,ZDD,PNA,4,10000
202108,ZDD,SHK,14,5900000
202108,ZDD,RLM,0,107814000
202108,ZDD,IUR,14,48044000
202108,ZDD,QDF,14,300000
202108,ZDD,KYG,14,200000
202108,ZDD,JVP,14,3900000
202108,ZDD,BVI,14,6500000
202108,ZDD,TGT,14,100000
202108,ZDD,GPM,14,100000
202108,ZDD,IEK,14,22400000
202108,ZDD,CVN,14,3100000
202108,ZDD,FLX,1,31004000
202108,ZDD,IEK,13,8360000
202108,ZDD,CVN,16,100000
202108,ZDD,IUR,27,300000
202108,ZDD,EEB,13,5690000
202108,ZDD,JVP,16,300000
202108,ZDD,TGT,11,695000
202108,ZDD,VEA,15,4010000
202108,ZDD,ZVX,11,1113000
202108,ZDD,SHK,16,2000000
202108,ZDD,IEK,15,1320000
202108,ZDD,MIQ,1,39362000
202108,ZDD,BVI,11,22621000
202108,ZDD,HZO,11,14632000
