BASE_YM,HNDE_BANK_RPTV_CODE,OPENBANK_RPTV_CODE,FND_TPCD,TRAN_AMT
202107,ZFS,JOR,0,72447546000
202107,ZFS,EEB,0,9533760000
202107,ZFS,BVI,0,155362575000
202107,ZFS,HZI,0,58817775000
202107,ZFS,YNB,0,1920437000
202107,ZFS,IUR,0,19062417000
202107,ZFS,HQI,0,145010156000
202107,ZFS,AXQ,0,296516000
202107,ZFS,SXR,0,7920266000
202107,ZFS,TGT,0,6448118000
202107,ZFS,KFW,0,1090239000
202107,ZFS,UXE,0,428829000
202107,ZFS,GPM,0,242010000
202107,ZFS,KCK,0,1667700000
202107,ZFS,RLM,0,197518000
202107,ZFS,UJN,0,133852000
202107,ZFS,QIM,0,1200000
202107,ZFS,JIK,0,150000
202107,ZFS,IDN,0,45495934000
202107,ZFS,XIE,0,5950516000
202107,ZFS,WZU,0,95410000
202107,ZFS,IGI,0,6080527000
202107,ZFS,PNA,0,9515633000
202107,ZFS,RII,0,4567555000
202107,ZFS,RBR,0,1096242000
202107,ZFS,CAZ,0,5087295000
202107,ZFS,FLX,0,2794711000
202107,ZFS,ZVX,0,3708593000
202107,ZFS,YUJ,0,6240908000
202107,ZFS,AZR,0,413330000
202107,ZFS,QOB,0,2870040000
202107,ZFS,FYT,0,15977058000
202107,ZFS,CVN,0,83225313000
202107,ZFS,SCD,0,9614258000
202107,ZFS,HZO,0,4607651000
202107,ZFS,VEA,0,67183931000
202107,ZFS,SIF,0,52435937000
202107,ZFS,SHK,0,464386412000
202107,ZFS,SMH,0,9340359000
202107,ZFS,WHF,0,981831000
202107,ZFS,YCA,0,31571488000
202107,ZFS,ZDD,0,2650742000
202107,ZFS,IEK,0,156470182000
202107,ZFS,MIQ,0,31517715000
202107,ZFS,NXL,0,66723983000
202107,ZFS,JVP,0,65220167000
202107,ZFS,KYG,0,10322438000
202107,ZFS,CBX,0,51939029000
202107,ZFS,AIG,0,88913320000
202107,ZFS,AHN,0,30931835000
202107,ZFS,QDF,0,7815957000
202108,ZFS,QDF,0,9757473000
202108,ZFS,TGT,0,13192258000
202108,ZFS,MIQ,0,37288214000
202108,ZFS,RII,0,4721998000
202108,ZFS,NXL,0,54673032000
202108,ZFS,AIG,0,51580549000
202108,ZFS,BVI,0,151527444000
202108,ZFS,XIE,0,5362244000
202108,ZFS,IDN,0,185392966000
202108,ZFS,SHK,0,491721894000
202108,ZFS,IEK,0,157885100000
202108,ZFS,RLM,0,14029000
202108,ZFS,UJN,0,310392000
