BASE_YM,HNDE_BANK_RPTV_CODE,OPENBANK_RPTV_CODE,FND_TPCD,TRAN_AMT
202107,ZQS,CBX,0,95272000
202107,ZQS,SIF,0,85000000
202107,ZQS,NXL,0,35500000
202107,ZQS,FLX,0,5000000
202107,ZQS,FYT,0,34769000
202107,ZQS,XIE,0,1000000
202107,ZQS,RII,0,50000
202107,ZQS,CAZ,0,45428000
202107,ZQS,TGT,0,22400000
202107,ZQS,HZO,0,188000
202107,ZQS,YCA,0,70000
202107,ZQS,IDN,0,3700000
202107,ZQS,EEB,0,19520000
202107,ZQS,QDF,0,161000
202107,ZQS,PNA,0,99000000
202107,ZQS,MIQ,0,252000
202107,ZQS,HQI,0,33050000
202107,ZQS,KYG,0,4049000
202107,ZQS,JOR,0,19000000
202107,ZQS,AIG,0,47740000
202107,ZQS,HZI,0,540296000
202107,ZQS,BVI,0,1185240000
202107,ZQS,AHN,0,134603000
202107,ZQS,SCD,0,2500000
202107,ZQS,VEA,0,381999000
202107,ZQS,SHK,0,695964000
202107,ZQS,CVN,0,637013000
202107,ZQS,IEK,0,1507567000
202107,ZQS,JVP,0,212254000
202107,ZQS,IUR,0,57015000
202108,ZQS,NXL,0,3000000
202108,ZQS,CBX,0,59790000
202108,ZQS,AHN,0,89862000
202108,ZQS,SIF,0,1070000
202108,ZQS,MIQ,0,252000
202108,ZQS,AIG,0,7000000
202108,ZQS,IDN,0,33133000
202108,ZQS,JOR,0,800000
202108,ZQS,GPM,0,1500000
202108,ZQS,HZO,0,1285000
202108,ZQS,ZFS,0,5200000
202108,ZQS,TGT,0,456000
202108,ZQS,HQI,0,19640000
