BASE_YM,HNDE_BANK_RPTV_CODE,OPENBANK_RPTV_CODE,FND_TPCD,TRAN_AMT
202107,ZVX,KYG,1,1167717000
202107,ZVX,CAZ,1,3552485000
202107,ZVX,VEA,4,4880808000
202107,ZVX,IEK,4,4311398000
202107,ZVX,BVI,4,2194275000
202107,ZVX,CBX,4,1149922000
202107,ZVX,QOB,4,3580000
202107,ZVX,MIQ,4,151529000
202107,ZVX,CAZ,4,766014000
202107,ZVX,HQI,4,56998000
202107,ZVX,IDN,4,93854000
202107,ZVX,IUR,14,21402000
202107,ZVX,CAZ,14,39534000
202107,ZVX,DSJ,0,32629000
202107,ZVX,KCK,4,3660000
202107,ZVX,AXQ,4,1030000
202107,ZVX,AZR,4,2190000
202107,ZVX,RII,4,14152000
202107,ZVX,GPM,4,46658000
202107,ZVX,SMH,4,17960000
202107,ZVX,YUJ,4,4550000
202107,ZVX,SCD,1,40172000
202107,ZVX,JOR,1,43607000
202107,ZVX,NXL,4,38581000
202107,ZVX,HZO,16,300000
202107,ZVX,CAZ,16,33850000
202107,ZVX,CVN,16,750000
202107,ZVX,VEA,15,9120000
202107,ZVX,BVI,13,2920000
202107,ZVX,XIE,11,310000
202107,ZVX,EEB,15,1320000
202107,ZVX,IUR,13,12080000
202107,ZVX,IEK,13,9530000
202107,ZVX,SHK,13,4030000
202107,ZVX,JOR,3,37000
202107,ZVX,BVI,16,1450000
202107,ZVX,IEK,16,7650000
202107,ZVX,EEB,4,2864410000
202107,ZVX,ZFS,4,24640000
202107,ZVX,RBR,4,3520000
202107,ZVX,PNA,4,650000
202107,ZVX,FLX,4,13040000
202107,ZVX,WHF,4,3420000
202107,ZVX,QDF,4,27246000
202107,ZVX,IGI,4,6550000
202107,ZVX,QDF,1,123162000
202107,ZVX,HZO,1,226737000
202107,ZVX,YCA,4,13095000
202107,ZVX,UXE,4,12987000
202107,ZVX,YNB,4,2400000
202107,ZVX,SIF,4,23111000
202107,ZVX,HZO,3,8237000
202107,ZVX,EEB,3,84273000
202107,ZVX,MIQ,3,4283484000
202107,ZVX,FYT,3,18138000
202107,ZVX,CAZ,3,7992000
202107,ZVX,JVP,3,2655190000
202107,ZVX,BVI,3,16959221000
202107,ZVX,IEK,3,4687085000
202107,ZVX,SSR,0,401892000
202107,ZVX,UXE,0,211531000
202107,ZVX,ZQS,0,20000000
202107,ZVX,TZF,0,899503000
202107,ZVX,IUR,3,85967000
202107,ZVX,VEA,3,11290215000
202107,ZVX,SHK,3,1210131000
202107,ZVX,AHN,3,2044000
202107,ZVX,QDF,3,5834503000
202107,ZVX,XIE,3,34652000
202107,ZVX,CBX,3,14291000
202107,ZVX,AIG,4,67231000
202107,ZVX,ZDD,4,69427000
202107,ZVX,FYT,4,18276000
202107,ZVX,JOR,4,65430000
202107,ZVX,AHN,4,120611000
202107,ZVX,KYG,4,299071000
202107,ZVX,XIE,4,163454000
202107,ZVX,SCD,4,35278000
202107,ZVX,HZO,4,439330000
202107,ZVX,TGT,4,165248000
202107,ZVX,SHK,4,2473388000
202107,ZVX,CVN,4,2450894000
202107,ZVX,IUR,4,2329562000
202107,ZVX,RLM,4,5220000
202107,ZVX,TCH,0,13234856000
202107,ZVX,ZDD,1,222977000
