BASE_YM,HNDE_BANK_RPTV_CODE,OPENBANK_RPTV_CODE,FND_TPCD,TRAN_AMT
202107,BVI,QOB,1,674930006387
202108,BVI,MIQ,4,839428558645
202108,AIG,MIQ,11,20000
202107,AHN,SIF,0,20000
202107,AIG,ZFS,4,20000
202108,AIG,EEB,4,20000
202107,AHN,FYT,0,322002033958
202107,AHN,AXQ,4,20000
202107,AIG,VEA,11,20000
202108,AHN,RII,23,20000
202108,AIG,EEB,4,587894255890
202108,BVI,SHK,1,644204546868
202108,BVI,UXE,0,20000
202108,BVI,SSR,12,4391427495074
202107,BVI,CBX,0,20000
202108,BVI,YUJ,0,20000
202107,AHN,FLX,4,20000
202108,AHN,XIE,4,71975155954
202108,AIG,YUJ,13,528071169680
202107,BVI,QIM,0,20000
202108,BVI,AZR,0,120308168938
202107,BVI,IDN,0,20000
202108,BVI,FLX,23,217796659679
202107,AHN,VEA,0,20000
202107,BVI,WHF,0,20000
202107,AHN,ZFS,0,20000
202108,AHN,KFW,0,20000
202107,BVI,FYT,4,20000
202107,AIG,VEA,4,372080306106
202107,AHN,RII,31,100164849965
202108,AHN,UXE,26,384951322859
202107,BVI,JIK,0,20000
202108,AHN,QDF,0,666643165064
202107,AHN,CAZ,1,20000
202107,BVI,TGT,13,20000
202107,AIG,YCA,0,80632983975
202108,AHN,CAZ,14,20000
202107,AHN,UXE,0,141469666724
202107,AHN,PNA,4,412269073977
202107,BVI,XDG,23,5628570533238
202108,AHN,UXE,0,20000
202107,AIG,FLX,14,645252574435
202107,AIG,RII,4,20000
202107,BVI,AXQ,23,20000
202108,AIG,IUR,1,370143980450
202107,AHN,HZO,0,642506321946
202108,BVI,GPM,4,20000
202107,AIG,YUJ,4,1720673747858
202107,BVI,IEK,4,143600103277
202108,BVI,SSR,4,173121325357
202108,AIG,IUR,0,24393466295
202108,AIG,XIE,4,163689996322
202108,BVI,HQI,4,408658189346
202107,AIG,AHN,0,471934784848
202107,AHN,IUR,3,109505776335
202107,BVI,ZDD,3,728403182678
202107,AIG,ZDD,4,843394996455
202107,BVI,SCD,13,323314877833
202107,AHN,ZDD,0,20000
202107,AIG,QDF,4,3700962566097
202108,BVI,VEA,4,20000
202107,BVI,MIQ,0,20000
202108,BVI,ZQS,0,369592770671
202107,AHN,JIK,1,20000
202107,AIG,IEK,11,439466490124
202107,BVI,JOR,12,20000
202107,AIG,KCK,11,20000
202107,AIG,AZR,20,231232369325
202107,AIG,EEB,4,396834803291
202107,AHN,SCD,0,614876568840
202107,BVI,YUJ,0,20000
202107,AIG,AXQ,4,431660738029
202108,AIG,QIM,14,133570890537
202107,AIG,YNB,0,20000
202108,AIG,RBR,0,54205339868
202108,AIG,CAZ,11,20000
202108,BVI,ZDD,0,20000
202108,BVI,SIF,0,20000
202108,AIG,RBR,4,122477801564
202107,BVI,ZFS,4,293418917073
202108,AIG,SIF,0,20000
202108,AIG,RLM,14,268062953914
202107,BVI,QOB,13,931279253665
202107,AHN,QDF,4,20000
202108,BVI,FYT,4,834726199695
202108,BVI,IGI,0,20000
202107,BVI,QOB,0,297373553242
202107,AHN,JFG,14,20000
202108,AHN,JOR,4,28635020741
202107,BVI,HZI,4,1016590042777
202107,AHN,RBR,12,1222107768087
202108,AHN,PNA,0,20000
