BASE_YM,HNDE_BANKCD,TRAN_TYE_NM,TRAN_AMT
202101,QDF,기타,33947000
202101,JVP,계좌이체,886479489000
202101,HZI,기타,2606179000
202101,KYG,현금입금,9740692000
202101,VEA,지로납부,235278354000
202101,SHK,지로납부,169221027000
202101,CVN,현금입금,74780022000
202101,RII,현금지급/현금서비스,60141200000
202101,BVI,현금입금,109851579000
202101,HZO,지로납부,5939927000
202101,EEB,현금입금,85263131000
202101,ZDD,현금지급/현금서비스,13415020000
202101,JVP,지로납부,63537654000
202101,RII,계좌이체,222544931000
202101,RII,지로납부,9276225000
202101,FYT,지로납부,18525934000
202101,FYT,현금입금,43944251000
202101,ZDD,현금입금,5238201000
202101,XIE,현금지급/현금서비스,8653910000
202101,QDF,현금입금,36176488000
202101,CAZ,기타,244167000
202101,IGI,현금입금,21985000
202101,SCD,현금지급/현금서비스,937080000
202101,AHN,계좌이체,2256248000
202101,KYG,지로납부,2877769000
202101,VEA,기타,629128000
202101,TGT,현금지급/현금서비스,1478930000
202101,XIE,계좌이체,20383323000
202101,IEK,현금입금,172470064000
202101,JVP,현금지급/현금서비스,165967850000
202101,SHK,현금입금,120891416000
202101,FYT,현금지급/현금서비스,101471570000
202101,HZI,계좌이체,5199069523000
202101,IEK,지로납부,63257773000
202101,BVI,현금지급/현금서비스,332905200000
202101,KPQ,현금지급/현금서비스,201882930000
202101,CVN,계좌이체,875567200000
202101,SHK,현금지급/현금서비스,339833900000
202101,SHK,계좌이체,1016566119000
202101,CAZ,현금지급/현금서비스,206499800000
202101,EEB,계좌이체,682165335000
202101,RII,현금입금,32214829000
202101,HZI,현금지급/현금서비스,850570600000
202101,IEK,현금지급/현금서비스,444254020000
202101,HZI,지로납부,178442581000
202101,NXL,현금입금,11612033000
202101,ZVX,현금입금,11198145000
202101,EEB,지로납부,16174493000
202101,FYT,계좌이체,310268888000
202101,EEB,현금지급/현금서비스,221518490000
202101,IEK,계좌이체,1949042548000
202101,QDF,지로납부,76720701000
202101,BVI,지로납부,56835566000
202101,CAZ,현금입금,83955162000
202101,HZO,계좌이체,208305656000
202101,KYG,계좌이체,90077714000
202101,ZDD,계좌이체,61567759000
202101,VEA,현금입금,69757962000
202101,HZO,현금지급/현금서비스,87648050000
202101,HZO,현금입금,28292742000
202101,HZI,현금입금,302448526000
202101,ZDD,지로납부,8009743000
202101,TGT,계좌이체,3665358000
202101,GPM,현금지급/현금서비스,5758440000
202101,IUR,현금지급/현금서비스,467037760000
202101,IUR,계좌이체,1193093952000
202101,SCD,현금입금,42494535000
202101,ZVX,현금지급/현금서비스,21563210000
202101,CAZ,계좌이체,594841528000
202101,IUR,현금입금,175853255000
202101,QDF,계좌이체,468642499000
202101,QDF,현금지급/현금서비스,69566180000
202101,ZVX,계좌이체,138543990000
202101,CVN,지로납부,37720359000
202101,KYG,현금지급/현금서비스,35267690000
202101,FLX,현금지급/현금서비스,7721700000
202101,JVP,현금입금,65798869000
202101,CBX,계좌이체,8920000000
202101,CAZ,지로납부,11045974000
202101,NXL,현금지급/현금서비스,898650000
202101,FLX,계좌이체,45499627000
202101,CVN,기타,159088000
202101,FLX,지로납부,734112000
202101,BVI,기타,223877000
202101,PNA,계좌이체,729326000
202101,IGI,현금지급/현금서비스,50360000
202101,MIQ,지로납부,12106000
202101,XIE,기타,297000
202101,VEA,계좌이체,1240916125000
202101,BVI,계좌이체,1142093174000
202101,IUR,지로납부,9761183000
202101,AIG,현금입금,8104000
202101,ZVX,지로납부,11966967000
202101,CVN,현금지급/현금서비스,247938740000
202101,KFW,현금입금,32300000
202101,SCD,지로납부,208000
202101,FLX,현금입금,4968110000
202101,XIE,현금입금,1438327000
202101,TGT,현금입금,606756000
202101,AIG,계좌이체,2871681000
202101,GPM,계좌이체,22248116000
202101,NXL,계좌이체,8547270000
202101,GPM,현금입금,1926864000
202101,SCD,계좌이체,7298493000
202101,SHK,기타,171171000
202101,FYT,기타,55922000
202101,JVP,기타,179507000
202101,MIQ,현금지급/현금서비스,1131520000
202101,HZO,기타,110214000
202101,KFW,현금지급/현금서비스,93740000
202101,PNA,현금지급/현금서비스,67650000
202101,MIQ,계좌이체,1247224000
202101,XIE,지로납부,494290000
202101,QOB,계좌이체,189755000
202101,MIQ,현금입금,424545000
202101,EEB,기타,25008000
202101,HQI,계좌이체,568882000
202101,ZDD,기타,27443000
202101,GPM,지로납부,145715000
202101,AIG,현금지급/현금서비스,37270000
202101,PNA,현금입금,39980000
202101,KFW,계좌이체,220790000
202101,FLX,기타,14416000
202101,TGT,지로납부,53447000
202101,IEK,기타,93882000
202101,VEA,현금지급/현금서비스,220271720000
202101,IGI,계좌이체,734745000
202102,SCD,계좌이체,7269061000
202102,AIG,계좌이체,2531661000
202102,KYG,지로납부,2869468000
202102,ZDD,지로납부,5762700000
202102,FYT,기타,55233000
202102,BVI,기타,250169000
202102,TGT,지로납부,50480000
202102,VEA,기타,819018000
202102,XIE,현금지급/현금서비스,8825830000
202102,XIE,현금입금,1655673000
202102,RII,지로납부,8214916000
202102,TGT,계좌이체,3318971000
202102,FLX,현금지급/현금서비스,9189840000
202102,CAZ,기타,225278000
202102,GPM,현금지급/현금서비스,6424170000
202102,NXL,계좌이체,8032830000
202102,EEB,지로납부,14244211000
202102,FYT,지로납부,19680446000
202102,IUR,지로납부,9413746000
202102,KYG,현금입금,11003681000
202102,AHN,계좌이체,2337317000
202102,QOB,계좌이체,106018000
202102,SHK,기타,164311000
202102,XIE,기타,30000
202102,MIQ,지로납부,930000
202102,ZDD,기타,25649000
202102,PNA,현금입금,29525000
202102,IGI,계좌이체,274798000
202102,FLX,기타,9287000
202102,XIE,지로납부,551292000
202102,IGI,현금지급/현금서비스,92750000
202102,TGT,현금지급/현금서비스,1899570000
202102,EEB,기타,21348000
202102,PNA,현금지급/현금서비스,71510000
202102,MIQ,현금입금,370911000
202102,GPM,지로납부,179148000
202102,FLX,지로납부,1050072000
202102,CVN,기타,225770000
202102,MIQ,현금지급/현금서비스,1118080000
202102,AIG,현금지급/현금서비스,51510000
202102,JVP,기타,214283000
202102,QDF,기타,31578000
202102,FLX,계좌이체,45905274000
202102,JVP,지로납부,70507410000
202102,QDF,지로납부,79425931000
202102,IEK,현금입금,186566876000
202102,IEK,지로납부,46835638000
202102,KPQ,현금지급/현금서비스,219043400000
202102,BVI,현금지급/현금서비스,363430110000
202102,RII,현금입금,36218138000
202102,QDF,현금지급/현금서비스,83350630000
202102,ZVX,계좌이체,128245576000
202102,FYT,현금입금,49981830000
202102,HZI,기타,3191596000
202102,BVI,계좌이체,1080576041000
202102,IEK,계좌이체,1819983174000
202102,ZVX,현금입금,13537222000
202102,HZI,현금입금,332108608000
202102,IEK,현금지급/현금서비스,464627020000
202102,EEB,계좌이체,663731766000
202102,IUR,현금입금,196575731000
202102,HZI,계좌이체,4887508394000
202102,IUR,계좌이체,1143124574000
202102,VEA,계좌이체,1168343109000
202102,QDF,계좌이체,436418576000
202102,VEA,현금입금,77335684000
202102,SHK,현금입금,138379094000
202102,SHK,지로납부,166295092000
202102,EEB,현금지급/현금서비스,260109910000
202102,IEK,기타,72275000
202102,KYG,현금지급/현금서비스,38087680000
202102,ZDD,계좌이체,59245291000
202102,CAZ,지로납부,9357114000
202102,AIG,현금입금,4014000
202102,FLX,현금입금,5889950000
202102,BVI,지로납부,54111851000
202102,ZDD,현금입금,6246390000
202102,EEB,현금입금,94861177000
202102,QDF,현금입금,42565839000
202102,BVI,현금입금,123135927000
202102,CVN,현금입금,86272504000
202102,JVP,현금입금,71001636000
202102,HZO,현금입금,31317881000
202102,JVP,현금지급/현금서비스,180332530000
202102,RII,현금지급/현금서비스,72515090000
202102,CVN,현금지급/현금서비스,264514810000
202102,KFW,현금입금,69910000
202102,PNA,지로납부,3000
202102,SCD,현금입금,45761780000
202102,SCD,지로납부,175000
202102,RII,계좌이체,206802345000
202102,NXL,현금입금,12868861000
202102,XIE,계좌이체,18449819000
202102,GPM,현금입금,2083157000
202102,CVN,지로납부,28253634000
202102,NXL,지로납부,74000
202102,KFW,현금지급/현금서비스,131600000
202102,HZO,지로납부,7902986000
202102,GPM,계좌이체,19884779000
202102,ZVX,현금지급/현금서비스,26508170000
202102,CAZ,현금입금,89868071000
202102,KYG,계좌이체,86014879000
202102,SHK,현금지급/현금서비스,385064240000
202102,CBX,계좌이체,9150000000
202102,SCD,현금지급/현금서비스,1131780000
202102,KFW,계좌이체,232223000
202102,PNA,계좌이체,641362000
202102,IGI,현금입금,18702000
202102,HQI,계좌이체,367055000
202102,HZO,기타,142647000
202102,TGT,현금입금,739738000
202102,MIQ,계좌이체,1307248000
202102,VEA,지로납부,216393282000
202102,NXL,현금지급/현금서비스,1178530000
202102,CAZ,현금지급/현금서비스,228069290000
202102,HZO,현금지급/현금서비스,96992560000
202102,FYT,계좌이체,289656951000
202102,CVN,계좌이체,854768889000
202102,HZI,현금지급/현금서비스,1028562660000
202102,VEA,현금지급/현금서비스,256358520000
202102,SHK,계좌이체,970759869000
202102,IUR,현금지급/현금서비스,535675270000
202102,ZVX,지로납부,7666827000
202102,CAZ,계좌이체,559666205000
202102,FYT,현금지급/현금서비스,118566770000
202102,HZO,계좌이체,201287880000
202102,HZI,지로납부,130747347000
202102,ZDD,현금지급/현금서비스,16096570000
202102,JVP,계좌이체,832350906000
202103,AIG,계좌이체,3395851000
202103,JVP,기타,238250000
202103,KFW,계좌이체,102256000
202103,TGT,현금지급/현금서비스,1592200000
202103,PNA,현금지급/현금서비스,68910000
202103,MIQ,현금지급/현금서비스,1156560000
202103,IGI,현금지급/현금서비스,79840000
202103,GPM,지로납부,154796000
202103,PNA,계좌이체,612559000
202103,QDF,기타,21670000
202103,IGI,계좌이체,253255000
202103,EEB,계좌이체,752460688000
202103,AIG,현금입금,6091000
202103,KYG,현금지급/현금서비스,36818210000
202103,QOB,계좌이체,189991000
202103,IGI,현금입금,18443000
202103,FYT,기타,61897000
202103,HZO,기타,170855000
202103,SHK,기타,222464000
202103,RII,현금지급/현금서비스,63293370000
202103,JVP,현금입금,73855798000
202103,HZO,현금지급/현금서비스,91935740000
202103,EEB,현금지급/현금서비스,255434160000
202103,HZI,지로납부,97410536000
202103,ZVX,현금입금,12468892000
202103,SHK,계좌이체,1075590315000
202103,IUR,계좌이체,1264663436000
202103,CAZ,계좌이체,632998247000
202103,CVN,계좌이체,921846311000
202103,PNA,현금입금,26129000
202103,EEB,기타,31021000
