BASE_YM,HNDE_BANK_RPTV_CODE,OPENBANK_RPTV_CODE,FND_TPCD,TRAN_AMT
202107,100,113,0,459307271000
202107,160,129,4,46287554000
202107,160,155,4,22252621000
202107,160,100,4,34043669000
202107,160,148,4,23230184000
202107,102,133,1,1105200000
202107,102,109,1,186241000
202107,102,144,1,12686643000
202107,102,153,1,10090895000
202107,102,110,1,606469000
202107,102,155,1,231829000
202107,102,100,1,1910653000
202107,102,150,1,6035736000
202107,102,132,1,876904000
202107,102,160,1,6116119000
202107,148,160,14,60024000
202107,160,151,3,7984000
202107,160,118,3,11422000
202107,160,138,3,24089000
202107,102,116,4,66301000
202107,102,138,4,35086000
202107,102,104,4,120405000
202107,102,153,4,26423000
202107,102,132,4,137384000
202107,160,132,4,508515000
202107,160,134,4,25576248000
202107,160,142,4,5610011000
202107,160,104,4,684442000
202107,141,142,3,1417000
202107,141,100,3,89600000
202107,141,130,3,6751000
202107,141,130,4,18626000
202107,141,138,3,52000
202107,141,144,4,19779000
202107,141,103,4,10678000
202107,141,132,3,228000
202107,155,127,0,113690000
202107,149,157,4,58237000
202107,160,116,1,513441000
202107,102,126,4,233211000
202107,160,159,4,5840000
202107,160,156,4,172982000
202107,160,122,4,36252000
202107,160,115,4,56918000
202107,149,140,4,55149000
202107,131,112,1,158041000
202107,160,138,4,283977000
202107,131,103,1,93893000
202107,160,154,4,203299000
202107,160,151,4,424632000
202107,160,116,4,1167405000
202107,160,102,4,1205088000
202107,149,123,4,4630000
202107,141,118,3,9000
202107,102,112,4,18832000
202107,102,144,4,17717000
202107,105,150,0,93794136000
202107,105,148,0,235940444000
202107,105,160,0,39072946000
202107,105,113,0,230226000
202107,105,134,0,163179021000
202107,128,141,0,1032819000
202107,128,137,0,354380000
202107,149,155,14,9680000
202107,112,126,1,1167717000
202107,131,141,14,3010000
202107,150,131,30,11906000
202107,112,109,1,3552485000
202107,131,160,12,638483000
202107,131,100,12,1396102000
202107,112,152,4,4880808000
202107,112,129,4,4311398000
202107,112,134,4,2194275000
202107,112,113,4,1149922000
202107,159,133,0,75940000
202107,159,111,0,1472094000
202107,159,138,0,66471000
202107,159,122,0,1922263000
202107,159,115,0,1935116000
202107,105,104,0,27255000
202107,105,109,0,368223000
202107,105,156,0,40471000
202107,105,128,0,12119066000
202107,102,151,4,35048000
202107,102,149,4,1433489000
202107,102,134,4,858977000
202107,132,106,0,129117000
202107,102,148,4,1267679000
202107,102,152,4,1198383000
202107,114,150,1,7238273000
202107,114,134,1,29772826000
202107,114,149,1,36740296000
202107,114,138,0,10097000
202107,112,107,4,3580000
202107,102,113,4,252214000
202107,112,102,4,151529000
202107,112,109,4,766014000
202107,112,144,4,56998000
202107,114,160,0,7886811000
202107,114,116,0,223796816000
202107,114,152,0,30116098000
202107,114,149,0,3356607790000
202107,114,148,0,305767386000
202107,105,132,1,154827000
202107,105,155,1,142494000
202107,105,160,1,2536822000
202107,105,130,0,993607000
202107,112,118,4,93854000
202107,140,104,0,27175000
202107,134,159,4,23138000
202107,100,117,0,1329850000
202107,137,128,0,198020000
202107,158,143,0,539886000
202107,161,150,3,466018000
202107,121,132,0,666800000
202107,121,100,0,20170000
202107,121,156,0,3180000
202107,101,122,0,535375000
202107,155,111,4,60000
202107,155,159,4,300000
202107,148,111,3,25042000
202107,131,140,4,10950000
202107,109,146,4,1810000
202107,131,107,4,6182000
202107,104,130,3,5690000
202107,104,141,1,393770000
202107,104,118,1,1790000
202107,100,120,4,2050000
202107,152,121,0,93854000
202107,131,110,1,59176000
202107,152,155,16,57948000
202107,104,102,4,5710000
202107,129,114,4,4502772000
202107,149,150,14,6162000
202107,137,132,1,185161000
202107,137,142,1,375673000
202107,137,131,1,114821000
202107,109,145,4,3375000
202107,102,122,4,2010000
202107,160,118,1,68159000
202107,143,140,4,15837000
202107,112,100,14,21402000
202107,134,107,1,5699198000
202107,160,114,1,220000
202107,104,136,4,1160000
202107,104,118,4,11880000
202107,104,143,4,1500000
202107,104,116,4,52241000
202107,105,113,1,712734000
202107,104,145,0,44470000
202107,105,136,0,874000
202107,149,136,1,288186000
202107,113,111,4,9157000
202107,126,157,4,7061000
202107,130,146,4,1938000
202107,126,107,4,13501000
202107,149,160,16,105181000
202107,143,125,4,1770000
202107,143,101,1,320703000
202107,143,110,1,96872000
202107,155,105,0,164070000
202107,126,104,1,553348000
202107,105,137,0,7802771000
202107,134,122,4,56534000
202107,104,122,0,383194000
202107,109,104,4,60285000
202107,116,159,4,810000
202107,116,130,4,59807000
202107,116,151,4,57966000
202107,143,158,0,73780000
202107,149,159,4,58313000
202107,155,114,0,86799000
202107,110,130,4,40176000
202107,110,131,4,11640000
202107,152,140,4,29616000
202107,142,110,1,68785000
202107,142,109,14,25700000
202107,134,106,4,28390000
202107,129,106,4,23530000
202107,160,130,1,257674000
202107,152,158,0,2449490000
202107,134,101,1,166328000
202107,141,156,4,9705000
202107,129,111,4,44388000
202107,141,117,0,125002000
202107,141,160,1,3067455000
202107,129,137,3,878908000
202107,149,125,3,43550000
202107,134,120,4,10360000
202107,116,114,4,9900000
202107,132,137,0,2760000
202107,148,136,3,309384000
202107,107,102,4,26340000
202107,113,121,0,10370000
202107,138,133,4,2430000
202107,138,123,4,50000
202107,138,157,4,2613000
202107,138,153,4,59174000
202107,116,122,4,450000
202107,116,101,4,7965000
202107,134,155,26,109922000
202107,120,147,0,32918000
202107,150,143,30,4001000
202107,125,104,0,48357000
202107,155,156,4,15416000
202107,125,127,0,1885054000
202107,134,108,4,1000000
202107,144,116,4,12275000
202107,144,110,4,9997000
202107,144,130,4,40118000
202107,144,153,4,8151000
202107,107,144,4,904000
202107,107,103,4,2390000
202107,107,100,4,33429000
202107,107,118,4,8100000
202107,107,122,4,2020000
202107,107,152,4,111029000
202107,100,105,0,30795000
202107,140,116,4,4337000
202107,140,143,4,39097000
202107,140,112,4,1145000
202107,142,158,0,1894710000
202107,112,109,14,39534000
202107,114,128,1,35100000
202107,114,152,1,5773516000
202107,114,116,1,3709820000
202107,114,126,1,3790793000
202107,114,160,1,2708671000
202107,114,151,0,6834000
202107,129,161,4,4130000
202107,104,101,4,5180000
202107,104,130,4,7650000
202107,104,151,4,21070000
202107,105,130,1,189804000
202107,105,142,1,211185000
202107,113,125,4,13712000
202107,113,136,4,48250000
202107,126,154,4,13618000
202107,109,120,4,170000
202107,150,101,3,48323000
202107,130,161,0,1602043000
202107,126,122,4,17530000
202107,126,140,4,3783000
202107,126,101,4,67069000
202107,143,115,4,3910000
202107,143,103,4,36640000
202107,102,146,4,3400000
202107,143,107,4,3660000
202107,145,157,0,25408000
202107,117,120,0,104804000
202107,117,146,0,1372000
202107,113,106,4,3026000
202107,130,102,1,2830000
202107,160,114,3,88434000
202107,132,122,4,1020000
202107,134,115,3,59151000
202107,134,150,12,547838000
202107,143,150,14,3318000
202107,132,138,4,28125000
202107,130,157,4,2481000
202107,103,154,4,3750000
202107,102,133,4,1707000
202107,102,111,4,1359000
202107,102,115,4,3000000
202107,102,107,4,1283000
202107,149,127,4,300000
202107,143,136,4,5270000
202107,103,136,4,2066000
202107,103,106,4,50000
202107,103,153,4,5790000
202107,103,104,4,4330000
202107,103,142,4,36949000
202107,103,116,4,23107000
202107,145,146,0,2056000
202107,130,122,4,2700000
202107,130,107,4,4030000
202107,158,104,0,50001000
202107,158,112,0,961271000
202107,158,109,3,130053100000
202107,161,128,3,48734000
202107,161,149,3,192783000
202107,161,152,3,796447000
202107,161,129,3,719424000
202107,161,160,3,293580000
202107,161,132,3,27139000
202107,121,160,0,82689000
202107,101,157,0,74220000
202107,129,136,1,759382000
202107,101,159,0,50960000
202107,148,134,13,10190000
202107,101,125,0,76270000
202107,155,106,4,300000
202107,109,122,4,190000
202107,155,120,4,899000
202107,152,147,4,4551000
202107,131,122,4,1036000
202107,131,136,4,10125000
202107,148,140,1,5932162000
202107,148,134,15,2300000
202107,158,100,0,57507000
202107,158,112,1,5060000
202107,137,144,0,3580000
202107,137,126,1,1062490000
202107,149,141,16,8733000
202107,149,100,16,82347000
202107,149,129,16,73769000
202107,149,109,16,54781000
202107,103,122,4,9440000
202107,103,112,4,12229000
202107,103,145,4,6220000
202107,103,138,4,11288000
202107,103,141,4,26635000
202107,109,159,4,825000
202107,152,115,3,107702000
202107,130,111,4,3938000
202107,130,140,4,2020000
202107,130,133,4,3625000
202107,143,156,4,41370000
202107,143,151,4,33215000
202107,143,112,4,12243000
202107,109,133,4,330000
202107,116,161,0,157350000
202107,149,147,4,9875000
202107,109,157,4,1350000
202107,128,130,0,43833000
202107,128,105,0,336888000
202107,137,118,1,42813000
202107,130,115,4,6420000
202107,127,156,0,3044883000
202107,127,122,0,230836000
202107,127,142,0,415352000
202107,149,137,1,6200000
202107,149,145,3,101000
202107,134,140,1,70470000
202107,122,115,0,30070475000
202107,122,107,0,1614035000
202107,116,127,0,849830000
202107,148,129,11,288297000
202107,148,115,1,99833000
202107,143,146,1,3770000
202107,110,151,1,25140000
202107,110,136,1,3150000
202107,110,103,1,48347000
202107,142,157,4,317000
202107,112,128,0,32629000
202107,143,117,0,124374000
202107,143,127,0,69143000
202107,102,106,4,255000
202107,142,153,4,32139000
202107,142,104,4,20799000
202107,142,112,4,14345000
202107,142,111,4,34015000
202107,112,125,4,3660000
202107,112,146,4,1030000
202107,122,150,4,60881000
202107,122,113,4,69486000
202107,122,103,4,8200000
202107,122,132,4,10693000
202107,140,142,4,18400000
202107,140,141,4,13285000
202107,140,109,4,13329000
202107,140,107,0,526041000
202107,122,106,0,8940000
202107,122,107,4,70000
202107,122,136,4,1100000
202107,122,142,4,8435000
202107,134,135,4,1000000
202107,122,143,4,25041000
202107,122,156,4,5410000
202107,112,147,4,2190000
202107,122,104,4,2000000
202107,122,109,4,7022000
202107,122,102,4,34183000
202107,122,130,4,5138000
202107,122,126,4,50884000
202107,122,148,4,300595000
202107,122,127,0,233109000
202107,160,128,0,25228000
202107,122,123,0,22476000
202107,122,140,0,60510000
202107,122,144,4,21370000
202107,122,151,4,8520000
202107,122,155,4,12570000
202107,102,104,1,97280000
202107,102,115,1,4105071000
202107,102,122,1,892200000
202107,133,157,0,91757000
202107,111,143,4,430000
202107,111,138,4,5280000
202107,111,118,4,3453000
202107,111,110,4,1500000
202107,111,141,4,4829000
202107,111,151,4,1940000
202107,111,132,4,11820000
202107,111,100,4,21747000
202107,111,102,4,29520000
202107,111,147,0,800794000
202107,150,159,1,16119000
202107,111,145,0,11555000
202107,111,122,0,71560000
202107,146,115,0,233850000
202107,146,110,0,187517000
202107,146,107,0,16330000
202107,106,143,0,5567000
202107,106,109,0,28829000
202107,106,118,0,361180000
202107,106,122,0,3650000
202107,127,138,0,32600000
202107,127,141,0,260308000
202107,127,154,0,2196940000
202107,111,146,0,18739000
202107,102,159,4,2529000
202107,157,107,0,214089000
202107,157,125,0,320199000
202107,109,141,1,177142000
202107,109,104,1,48037000
202107,126,133,4,30000
202107,142,103,3,508662000
202107,112,143,4,14152000
202107,112,101,4,46658000
202107,112,136,4,17960000
202107,112,159,4,4550000
202107,112,138,1,40172000
202107,112,151,1,43607000
202107,152,146,1,16404000
202107,157,130,0,4694642000
202107,153,106,0,600379000
202107,134,103,1,440344000
202107,148,143,21,4680000
202107,129,137,4,4960000
202107,135,144,0,880610000
202107,135,126,0,98740000
202107,135,122,0,820000
202107,135,154,0,199520000
202107,135,155,0,2544000
202107,126,159,4,2710000
202107,110,140,0,2147355000
202107,150,120,4,7160000
202107,112,153,4,38581000
202107,143,135,4,2800000
202107,103,131,4,45245000
202107,103,144,4,6144000
202107,148,116,11,3555000
202107,148,141,13,1430000
202107,129,130,11,1110000
202107,148,152,15,7160000
202107,148,150,16,5700000
202107,148,129,13,16070000
202107,148,129,16,14500000
202107,131,104,11,1566000
202107,152,149,27,300000
202107,148,116,13,380000
202107,148,155,16,9933000
202107,148,141,16,2150000
202107,148,134,16,5700000
