BASE_YM,HNDE_BANK_RPTV_CODE,OPENBANK_RPTV_CODE,FND_TPCD,TRAN_AMT
202107,IEK,CAZ,0,711017598525
202107,ZVX,ZDD,4,1228068292
202107,ZDD,SHK,4,2324089443982
202107,FYT,YCA,0,148996826
202107,MIQ,JVP,0,13782
202107,JVP,AHN,4,7084113832
202107,CVN,NXL,1,352100
202107,CVN,SCD,4,415489733
202107,ZFS,RBR,0,1487484637
202107,NXL,YCA,0,5291971427
202107,MIQ,TGT,0,173411657157
202107,CVN,XIE,4,665410784816
202107,AHN,AHN,3,302646421940
202107,VEA,KYG,0,518706533730
202107,RLM,MIQ,3,25840600
202107,GPM,WHF,0,196443208660
202107,AHN,QOB,0,4864202153611
202107,BVI,NXL,0,2967539821
202107,JVP,VEA,1,2194660905
202107,CBX,QIM,3,50892
202107,TGT,JVP,26,655040
202107,TGT,UJN,3,126849266
202107,IUR,KCK,14,15917
202107,HZI,BVI,4,75919670
202107,YCA,GPM,0,216719155884
202107,VEA,DSJ,16,9047
202107,QOB,IEK,0,750080508093
202107,XIE,VEA,3,6953216
202107,HNR,TGT,0,16317999022
202107,DSJ,XIE,0,14713
202107,HZI,IGI,0,2147252432071
202107,ZDD,TGT,4,23393638827
202107,HZO,SHK,0,76988147765
202107,YCA,QOB,3,12034
202107,KCK,WZU,0,9188695095
202107,ZVX,QDF,0,2009666214493
202107,ZVX,SIF,0,10177393088076
202107,PNA,KYG,0,10105055652
202107,QIM,EEB,0,562885446
202107,SHK,SSR,0,690586453018
202107,TGT,BVI,0,3961527371133
202107,CBX,WHF,0,1453845936
202107,TGT,SHK,14,9666
202107,EEB,YCA,3,9001
202107,HZI,IGI,0,277823835
202107,ZDD,VEA,4,320720404097
202107,SIF,IUR,0,1560693565003
202107,TGT,HZI,0,2481173966733
202107,FYT,IEK,1,399687674
202107,CBX,DSJ,4,26382763397
202107,VEA,XIE,0,84342040589
202107,FYT,AXQ,3,1536946472
202107,NXL,SSR,0,208102919
202107,YCA,SHK,0,58633
202107,HQI,IGI,0,9001
202107,MIQ,ZFS,4,195661859
202107,TGT,IGI,0,26522
202107,IEK,SMH,0,900691035910
202107,AHN,QDF,0,1118590379396
202107,IEK,FYT,0,111585758846
202107,QOB,IEK,0,17488005683
202107,JVP,TGT,3,120137
202107,SCD,KYG,0,4526100560
202107,CBX,IUR,0,2552390445827
202107,QDF,IUR,3,14011957778
202107,QOB,SXR,0,196003433560
202107,KYG,QDF,0,322138266044
202107,FLX,JVP,1,1589010730500
202107,AIG,SMH,0,169513497980
202107,VEA,YUJ,1,21807516194
202107,YNB,MIQ,0,10392
202107,IUR,SHK,4,1070088324844
202107,ZDD,NXL,4,1550594010
202107,MIQ,FYT,0,514141583030
202107,FLX,CVN,0,13215698016
202107,IUR,MIQ,0,690901110107
202107,QDF,HQI,1,69853
202107,HQI,ZFS,0,18508113563
202107,FYT,QDF,1,11261844619
202107,GPM,YCA,0,8188845986
202107,IUR,CBX,3,1135211320912
202107,JOR,GPM,4,743044002
202107,YUJ,YCA,4,63635
202107,CVN,AIG,0,18162073349
202107,KFW,ZFS,0,17580
202107,MIQ,JOR,0,9000
202107,ZDD,DSJ,0,257401
202107,UJN,YCA,0,36351442908
202107,YUJ,QOB,3,10910
202107,XIE,CVN,0,5096483696824
202107,KFW,RII,1,5784651551
202107,JVP,RBR,4,72507
202107,SIF,VEA,4,9000
202107,MIQ,QDF,0,398659674849
202107,SHK,PNA,0,272419727322
202107,AIG,HZO,3,13916807523
202107,SSR,HZO,4,17062
202107,VEA,UXE,0,1173377603
202107,AIG,TGT,0,1591868908296
202107,WHF,SIF,0,375701014623
202107,AXQ,WHF,0,1408573108733
202107,IGI,WHF,1,1450636
202107,ZDD,UJN,3,422064339
202107,IDN,FLX,0,246584999395
202107,XIE,IDN,4,53480665058
202107,JVP,EEB,0,21712633350
202107,SHK,AZR,0,3932523
202107,AHN,TGT,0,433926077729
202107,WHF,CAZ,0,864539183
202107,IGI,RII,4,22121540863
202107,BVI,EEB,0,48121087154
202107,JVP,XIE,1,206307535
202107,EEB,SHK,0,7554401747083
202107,KYG,FYT,0,13211068690
202107,ZDD,AXQ,4,1539017851705
202107,KYG,HZI,0,1923664418391
202107,TGT,PNA,0,9634296545
202107,IUR,RBR,4,107829513020
202107,JVP,IGI,0,33456752
202107,KCK,HZO,0,972778342477
202107,SHK,RII,3,12309985
202107,JVP,VEA,4,709357175197
202107,QDF,SCD,0,576789346459
202107,RII,IDN,4,376771022385
202107,YNB,IGI,0,7515852
202107,HQI,CBX,1,6486494337666
202107,QDF,YUJ,0,2224411329953
202107,CBX,MIQ,3,265305994009
202107,IDN,IEK,4,135610932874
202107,HZO,EEB,1,386287007189
202107,EEB,SHK,4,2177080
202107,SHK,IEK,4,1286395781847
202107,MIQ,GPM,4,9010
202107,WHF,RBR,4,13061
202107,CAZ,GPM,0,40677831186
