BASE_YM,HNDE_BANK_RPTV_CODE,OPENBANK_RPTV_CODE,FND_TPCD,TRAN_AMT
202108,FYT,AHN,0,3969290536
202108,AXQ,CVN,0,341058700
202107,SHK,ZFS,0,2102233502
202107,BVI,SHK,0,637424123
202107,JVP,JVP,1,4712852340
202107,UXE,HQI,0,2956024887
202107,CVN,BVI,21,178186913
202108,JVP,IEK,11,762283937
202107,JVP,JVP,30,134703370
202107,ZVX,UJN,4,13817933
202107,BVI,SHK,0,231608716690
202107,CVN,BVI,21,12872748
202108,ZDD,IDN,1,1182527422
202108,TGT,CAZ,4,8038063
202108,CVN,HNR,0,346244811
202107,HZO,SCD,4,3426290
202107,CVN,VEA,1,16088358412
202108,FYT,BVI,0,5152266901
202108,SCD,RLM,4,9030377
202107,BVI,SHK,20,895946
202108,SSR,CBX,0,12538672254
202107,NXL,IDN,0,20533159548
202108,FYT,IEK,4,292129482
202107,JIK,QDF,0,242163933
202107,KCK,HZO,1,2681609508
202108,BVI,HZI,20,11544306
202108,IDN,QIM,0,377302621277
202108,YNB,YNB,0,2335799350
202107,HZI,SMH,4,2508170310
202108,IDN,IDN,4,1354745906
202108,WHF,YCA,0,117535585874
202107,HQI,XIE,4,33726266
202107,TGT,MIQ,0,6962922858
202108,CVN,FYT,0,869739458
202108,AHN,NXL,0,7115305270
202107,CVN,ZVX,21,196914897
202108,QOB,ZVX,0,6200749337
202108,GPM,HZO,0,216410718
202108,IDN,SIF,0,506590113647
202108,ZVX,TCH,0,3574298308
202107,HZI,RLM,4,1913616
202108,QOB,QDF,0,3224503630704
202108,YUJ,FYT,0,4107643636562
202108,ZDD,AXQ,4,120414408
202108,JVP,HZI,0,4059361905
202108,SCD,PNA,4,1677719
202108,GPM,KYG,0,81019109530
202108,ZVX,FLX,0,624886356
202108,SCD,YCA,4,462739469
202108,BVI,TGT,4,23106535
202108,RBR,IEK,0,7309328330
202108,BVI,HZI,20,397014270
202108,ZVX,KYG,3,2141936620
202108,ZVX,XIE,4,268508
202107,XIE,SIF,0,403171845
202108,JVP,CAZ,30,1168227926
202108,NXL,YNB,0,3434723045
202108,FLX,CBX,0,8435248072
202107,SMH,TZF,0,34501943755
202107,QDF,FYT,4,1058914798
202108,KFW,UXE,0,861570427
202108,BVI,IEK,14,1514329513
202108,HNR,QDF,1,1149689959
202108,HZI,SHK,3,11442725812
202108,HZI,WZU,4,1677778
202108,RII,SXR,0,1177147244
202108,AIG,SMH,4,32162732
202107,IEK,CBX,1,41197780596
202108,IEK,SHK,0,1259141255
202108,HZI,SSR,0,5140172
202107,TZF,HZI,4,67794452
202108,DSJ,HQI,0,336849863
202108,JVP,FLX,3,4148333559
202107,FYT,IEK,11,812320195
202107,FYT,HZI,16,151239422
202107,XIE,XIE,4,3103847390
202108,HZO,IDN,0,5207369766
202107,SCD,IDN,4,394069
202107,XDG,SHK,0,1988887672
202107,BVI,IUR,14,8189711
202107,ZVX,UXE,4,409273853
202108,JVP,VEA,30,4419969
202107,XIE,CAZ,0,42580604336
202108,VEA,XIE,3,2653840176
202108,ZVX,YUJ,1,3962936
202107,CVN,CBX,3,536532965
202107,FYT,HZI,16,13399591
202107,XIE,XIE,1,4725235
202108,HZO,IDN,4,1171981
202107,RII,HNR,4,11108271
202108,HZI,RII,0,24503449213
202108,TZF,HZI,1,661049351
202108,VEA,IUR,14,50454790
202107,GPM,KYG,0,1214316354
202107,UJN,IGI,3,1213257098
202107,QOB,SIF,4,2963260
202108,RII,AHN,4,57793405
202107,HZO,CBX,4,518370055
202108,ZVX,PNA,1,2509273108
202108,SCD,NXL,4,139012846
202107,HQI,SHK,0,7309007488
202107,BVI,SSR,0,1810318678
202107,YUJ,FLX,0,4084119371
202108,UXE,PNA,0,1201082690146
202108,VEA,SHK,11,1847971839
202107,ZVX,XDG,0,2920938444
202107,BVI,ZDD,4,5829792384
202107,HZI,UXE,0,4085472947
202108,WHF,UXE,0,3686055459
202108,ZDD,KYG,0,9232925430
202108,JVP,VEA,0,1039431097
202108,NXL,AZR,0,569168129
202108,QDF,PNA,1,1206516352
202108,CVN,IEK,21,135944536
202108,XIE,YUJ,4,112452599732
202107,YCA,IDN,0,17203448740
202107,XIE,FYT,0,229544335131
202108,JVP,BVI,30,342168510
202108,BVI,ZDD,0,76684258050
202107,ZDD,IEK,0,115978219882
202108,VEA,IDN,14,323454235
202108,FYT,GPM,1,1437901284
202107,QOB,IDN,4,1450038228
202107,CVN,ZVX,1,1779672016
202108,IGI,UXE,4,559697
202108,ZVX,KYG,4,463158717
202107,HQI,NXL,0,104290199657
202108,BVI,IUR,14,37103391959
202107,RBR,UJN,0,329642505
202107,YUJ,HQI,0,57220385
202107,IEK,CVN,26,6861248104
202107,QOB,HQI,4,366586727
202107,SXR,RII,0,1568587722
202108,CAZ,UJN,0,159420567397
202108,VEA,CAZ,0,7234784317
202107,HZI,YUJ,4,9777645
202108,PNA,BVI,3,132226399
202108,JVP,JVP,1,330357099
202107,CVN,ZVX,21,482658796
202108,RII,KCK,4,4509755142
202108,QDF,ZFS,0,204170755
202107,TCH,SMH,0,4038171224
202108,JVP,VEA,30,93897611
202107,ZVX,AHN,3,114988569904
202107,SIF,EEB,0,33740548427
202108,VEA,HZI,0,54374676301
202107,AHN,QIM,0,15519456520
202107,SHK,SCD,4,1728959918
202107,QOB,JOR,4,200832522
202108,SCD,HNR,4,116643
202107,HZI,YUJ,0,24362842
202108,HZI,RLM,4,2341615
202108,FYT,EEB,4,174461757
202108,BVI,VEA,20,137801810
202107,HQI,GPM,4,805504
202107,ZDD,WZU,4,62307985
202107,BVI,IGI,4,13549477
202108,KCK,QDF,0,110238846775
202107,CVN,RII,1,241638819
202108,IUR,KYG,4,9037623605
202107,RII,SXR,4,47099311
202108,SIF,BVI,0,3916620782
202107,YUJ,CVN,0,12154449563
202107,SHK,EEB,1,18210927354
202107,FYT,IEK,1,145487567
202107,BVI,YNB,1,2851326345
202108,VEA,CAZ,11,136756943
202107,ZQS,FLX,0,790214605
202108,XIE,IUR,0,1942877758
202108,HZI,CVN,14,2932466141
202108,BVI,ZDD,0,6372182678
202108,HZI,ZVX,1,2919590756
202107,CVN,BVI,0,11180128891
202107,SCD,ZDD,4,423483175
202108,VEA,HQI,0,26570591224
202107,IEK,EEB,26,35685772
202108,RII,WZU,0,48872805
202107,SXR,SHK,1,7274707282
202107,QDF,CBX,0,121885128231
202107,CBX,AIG,0,3497536081
202107,SSR,NXL,0,78594341592
202107,BVI,HZO,3,3646483314
202107,IEK,AHN,26,688432305808
202107,BVI,XIE,31,1017297927
202108,KCK,XIE,0,4023652624536
202107,HNR,IGI,0,283034832255
202108,BVI,SHK,4,27902304
202107,VEA,CBX,1,4759037901
202107,VEA,FYT,4,14712336679
202107,FYT,IUR,11,1995271694
202107,KYG,AZR,0,10519229547
202108,QDF,CVN,0,4237185963
202107,BVI,IUR,1,8581931207
202107,QIM,AXQ,4,2081695822
202108,BVI,CVN,20,19899567
202108,BVI,SHK,1,11082634224
202107,JFG,QIM,0,232165780
202108,IUR,AXQ,4,3115551
202107,BVI,QOB,0,3620079994
202107,CVN,BVI,3,6308053635
202108,BVI,KYG,0,13056808212
202108,ZFS,IGI,0,2511326934
202108,YNB,ZFS,3,2925132147
202108,BVI,SHK,31,5998457277
202108,MIQ,CAZ,1,252216572
202107,SHK,KYG,3,2563565180
202108,JOR,ZFS,0,20416991008
202107,HZI,AIG,0,4396596138
202108,PNA,WHF,0,47053319557
202108,SCD,QDF,4,54018399903
202107,KCK,QOB,0,26368989278
202108,IEK,QDF,26,117321150
202107,IEK,QOB,4,2350253425
202107,JVP,SHK,24,5445002981
202107,ZDD,QDF,1,43348342682
202107,KYG,EEB,1,9490662082
202108,BVI,NXL,26,32062015
202107,IGI,GPM,4,5666755
202108,HZO,SMH,4,26740326
202108,TGT,ZFS,1,146654744
202107,HZO,RII,0,3568496849
202108,ZVX,CAZ,4,6005948182
202108,WHF,EEB,1,20077504224
202107,JOR,KYG,0,17984081175
202107,XIE,QDF,0,938508267
202107,VEA,SHK,1,4628905950
202107,JOR,ZVX,0,26072290649
202108,EEB,RBR,4,24499382
202108,IEK,CAZ,26,811711644
202108,BVI,PNA,16,723373
202108,XIE,KYG,4,8921231401
202108,HQI,JFG,0,1568806649
202108,BVI,ZFS,4,169580951
202107,JIK,RII,1,81265570064
202108,HQI,RII,0,9250603830
202107,TGT,NXL,4,230078057
202107,CBX,IGI,0,1027812053
202108,ZQS,WHF,1,2598530
202107,JOR,QIM,0,9280747235492
202107,HZI,AIG,4,951583638
202107,QIM,CBX,0,17530070251
202108,ZVX,VEA,3,3905069743
202108,TGT,QDF,3,15589449521
202108,BVI,SHK,4,140444617
202108,BVI,SSR,0,807814563
202108,ZFS,CVN,0,2152353807558
202107,JVP,JOR,1,8742240
202108,RII,CVN,4,15119133452
202107,ZVX,EEB,0,3172058763
202108,CAZ,JOR,4,2481570
202108,BVI,TZF,0,143556166942
202108,BVI,SMH,0,5675930466
202108,BVI,HZO,1,4268654622
202107,FYT,RII,4,49503906
202107,QOB,NXL,4,1778556
202108,IGI,UXE,4,21186914
202108,MIQ,IEK,1,1019450262432
202107,HQI,ZQS,4,20533816
202107,AIG,KFW,4,59128300
202107,FYT,IUR,11,3108210956
202108,SIF,QIM,4,10084845595
202108,TGT,KCK,4,335862142
202107,FYT,CAZ,14,38216819
202107,WZU,AIG,0,1236489870
202108,HQI,JOR,0,124447570361
202107,HZI,JFG,0,145186071708
202108,HZO,AHN,4,3311171640
202107,JVP,BVI,30,192544243
202107,JVP,JVP,0,20351008253
202107,SCD,XIE,4,17819203
202108,EEB,SSR,0,32342497055
202108,VEA,IUR,4,4345207947
202107,SCD,HZO,1,664770862
202108,HZI,SSR,4,137309213002
202108,FYT,BVI,11,580516691
202108,SCD,ZDD,4,81131337
202107,SHK,FLX,3,21711782275
202108,HZO,SHK,0,2280180945
202108,CAZ,FYT,0,10967730047
202107,SHK,NXL,0,143501594
202107,ZDD,SHK,26,305322623
202107,AZR,HQI,0,293574987
202108,FLX,CBX,0,10472790951
202108,YNB,AZR,0,251832611
202108,FYT,BVI,11,3634702630
202108,JVP,CAZ,1,2883828366
202108,CAZ,CAZ,23,526225797
202108,IUR,AHN,4,210603874
