BASE_YM,HNDE_BANK_RPTV_CODE,OPENBANK_RPTV_CODE,FND_TPCD,TRAN_AMT
202107,RBR,YNB,0,9000
202107,AXQ,FYT,0,31684594642
202107,QDF,ZFS,0,9000
202107,BVI,RII,3,53040626016
202107,VEA,GPM,1,9000
202108,UXE,FYT,0,18650780231
202107,CVN,BVI,21,9000
202107,CAZ,HZI,11,26952270771
202107,FYT,IUR,30,9000
202107,GPM,UJN,1,9000
202108,QIM,SHK,0,48637653180
202107,CVN,BVI,21,30988843933
202107,ZDD,XIE,4,9000
202107,AHN,MIQ,4,13436326117
202107,QDF,HNR,4,9000
202107,MIQ,SCD,4,9000
202107,CVN,VEA,0,67821879832
202107,FYT,CBX,1,9000
202107,HZO,RLM,4,9000
202108,BVI,ZDD,20,9000
202108,SSR,ZVX,0,9000
202107,NXL,HZI,0,17847955035
202107,FYT,SCD,4,10940452404
202107,JIK,QDF,0,8041776780
202108,KCK,SMH,0,45740303996
202107,BVI,QDF,20,9000
202107,ZDD,QIM,23,3304180681
202107,IDN,RBR,0,26543237404
202107,HQI,SMH,0,44168722529
202108,SHK,IDN,4,47302689944
202107,WHF,IDN,0,4284898269247
202107,AHN,MIQ,4,6921232049
202108,TGT,HNR,4,9000
202107,IEK,FYT,3,9000
202107,QDF,NXL,0,570921537190
202107,CVN,BVI,21,9000
202107,QOB,BVI,0,9000
202107,GPM,WHF,0,9000
202107,IDN,DSJ,0,33997145478
202108,ZVX,KFW,4,9000
202107,VEA,RLM,0,3358760400
202107,QOB,HZI,0,13288626220
202107,YUJ,RII,0,9000
202107,AHN,MIQ,4,9000
202107,SHK,HZI,4,46294955439
202107,SCD,IUR,0,9000
202107,GPM,KYG,0,9000
202107,CBX,FLX,4,3683863431
202107,ZVX,SMH,4,2472218797
202107,VEA,TGT,3,41409662680
202107,RBR,AXQ,0,13410352829
202107,BVI,IEK,20,9449719263
202108,RII,KYG,0,15129957738
202107,ZVX,AXQ,4,9000
202107,QIM,SIF,0,9000
202107,JVP,CVN,30,2976924784
202107,NXL,QDF,0,32793962046
202107,FLX,HZI,3,12808806796
202108,SMH,CBX,0,9000
202107,QDF,NXL,0,51621768947
202108,TGT,UXE,0,9000
202108,QDF,BVI,14,9000
202108,HNR,QOB,0,9000
202107,HZI,FLX,3,27329665678
202107,CAZ,WZU,0,437207611
202107,KYG,SXR,0,9000
202107,AIG,SMH,4,10688896123
202107,IEK,HZI,0,848865782527
202108,SHK,QIM,0,24366536102
202107,DSJ,SSR,0,9000
202107,TZF,ZDD,0,9000
202107,QIM,HQI,0,32005590591
202107,JVP,CBX,3,9000
202107,CAZ,CAZ,11,9000
202107,SHK,HZI,16,9000
202107,XIE,SHK,0,72330319297
202108,IEK,IDN,0,33171234708
202107,HZO,GPM,4,9000
202107,XDG,CBX,0,6291999444
202107,VEA,IUR,14,9000
202108,EEB,UXE,0,4047776737862
202107,JVP,FYT,30,9000
202107,RII,CAZ,3,12129571539
202107,IEK,JVP,3,32243339585
202108,EEB,YUJ,0,9000
202107,HZI,FLX,3,9000
202107,FYT,HZI,16,9000
202108,XIE,NXL,4,31937882298
202107,IEK,IDN,0,5370559522
202107,QDF,HNR,4,9000
202107,ZVX,RII,1,1360038067
202107,TZF,SHK,0,483300411477
202107,IEK,VEA,14,759025315
202107,GPM,EEB,0,9000
202108,KYG,IGI,0,322575839773
202107,QOB,JVP,0,9000
202108,ZVX,AHN,0,32745928362
202108,AIG,CBX,0,1369381978812
202107,XIE,PNA,0,2771464524
202107,VEA,ZVX,4,2281359989
202107,HQI,QDF,0,22938894393
202107,JVP,SSR,0,14001127029
202107,YUJ,UXE,4,9000
202107,UXE,ZDD,0,9000
202107,CAZ,CVN,11,5472745069
202107,AHN,XDG,4,9000
202107,BVI,JVP,1,72527690182
202108,HQI,UXE,4,15931764334
202107,RII,UXE,0,9000
202107,CAZ,KYG,4,108831613597
202107,JVP,IUR,4,43747019006
202107,JOR,WZU,0,42064308603
202107,SHK,PNA,0,38303196930
202107,CVN,BVI,21,3775898648621
202107,IGI,YUJ,0,9000
202107,JVP,SHK,0,489384700857
202107,XIE,EEB,14,17043898904
202107,JVP,EEB,30,9000
202108,JOR,ZDD,0,9000
202107,VEA,TGT,0,5546732834
202108,IUR,CVN,14,9000
202107,JVP,GPM,0,9000
202107,PNA,IDN,0,1820615705385
202108,CVN,BVI,1,36057889177
202107,AHN,ZFS,4,3290878079
202107,ZVX,RBR,4,36743077603
202107,IEK,NXL,0,19728226483
