BASE_YM,HNDE_BANK_RPTV_CODE,OPENBANK_RPTV_CODE,FND_TPCD,TRAN_AMT
202107,SIF,ZDD,0,1408346560
202108,MIQ,AHN,1,2382545223
202107,IEK,BVI,1,167111450092
202107,ZDD,CBX,4,9000
202107,QDF,XIE,0,108368462376
202108,KYG,HQI,0,282078550060
202107,YNB,ZFS,0,9000
202107,IUR,UXE,4,9000
202107,UXE,ZDD,0,2770768915
202107,HZI,CBX,3,4087966800
202107,CBX,SHK,0,742364975072
202107,TGT,SCD,4,9000
202107,CAZ,IUR,11,9000
202107,EEB,AXQ,0,9000
202107,XIE,SCD,4,9000
202107,AIG,SHK,0,490528519254
202107,BVI,FYT,0,382825074884
202107,XIE,AHN,0,87798634587
202107,IUR,NXL,4,2275151602
202107,QOB,SHK,0,25649276935
202108,JVP,CBX,3,12909596857
202107,JVP,AXQ,4,9000
202107,MIQ,AXQ,0,2444050693
202107,QDF,DSJ,0,112976368554
202107,KFW,QOB,0,2892681469
202108,HZI,JOR,0,1873130929214
202107,GPM,AHN,0,2118907086
202108,RII,XIE,0,21167977109
202107,BVI,HZI,3,193043568344
202107,FLX,XIE,0,14993765230
202108,PNA,SHK,0,23987049806
202107,EEB,IUR,4,9000
202107,CBX,YNB,0,25476002208
202107,XIE,IDN,0,112190294879
202107,MIQ,HZO,4,1959247342
202107,QDF,ZVX,1,11368815928
202107,XIE,YCA,0,24575943958
202107,MIQ,GPM,0,2929376545
202107,XIE,IEK,0,113048085558
202107,MIQ,SCD,0,17911430642
202107,HQI,QOB,0,13095013896
202107,HQI,FLX,4,2982020375
202107,SCD,PNA,0,9000
202107,ZDD,CAZ,4,278784551
202108,MIQ,EEB,3,1271944595
202107,MIQ,HQI,4,4271689834
202107,TGT,YCA,0,16012694828
202107,SHK,HZO,4,2613479471
202107,SHK,GPM,1,9000
202107,SHK,GPM,1,2224981727
202107,SHK,GPM,0,33822273887
202107,CBX,VEA,0,399763803614
202107,EEB,UXE,0,9000
202107,SSR,RII,0,598025759
202107,XIE,KYG,0,102808496574
202107,JVP,FYT,0,380915843772
202108,IGI,RII,4,1583071732
202107,WHF,ZVX,0,9000
202108,ZVX,BVI,1,33924275267
202107,IGI,ZVX,0,9000
202107,TZF,IUR,1,9000
202107,SHK,SMH,4,1333638989
202108,AZR,SHK,0,8098943938
202107,KFW,JVP,4,103695660
202107,FYT,IUR,1,452597226
202107,MIQ,GPM,0,5652622021
202107,HZI,CAZ,3,3529641326
202107,FLX,ZFS,0,9000
202108,TGT,QOB,0,4952446800
202107,JVP,YNB,0,5650289907
202107,MIQ,HZO,3,6617175670
202107,TGT,QOB,0,6531389534
202107,CBX,IDN,0,1569060572239
202107,AXQ,HZI,0,1379019642
202108,SMH,SIF,0,75286867305
202107,KYG,IEK,0,1100089609161
202107,ZDD,CAZ,4,9000
202107,EEB,IEK,0,78055200315
202107,VEA,BVI,4,37083331643
202108,KYG,HZI,4,5032858795
202107,KFW,XIE,4,1310320794
202108,SSR,ZVX,0,2257269570
202107,MIQ,TGT,1,652828365
202107,SHK,AHN,3,1101417956
202108,JFG,KYG,0,115939427
202107,XIE,XIE,4,9000
202107,FLX,CBX,0,21617581730
202107,PNA,EEB,4,9000
202107,GPM,AHN,0,6203641833
202107,ZQS,HZI,0,9000
202108,QIM,SHK,0,617715743134
202108,QDF,SHK,1,15235241897
202107,WHF,ZDD,0,1267672331
202107,UXE,CAZ,0,3681345145
202107,HZI,XIE,3,2866953299
202108,PNA,SHK,4,690917705
202107,DSJ,HZI,0,6381862940
202107,BVI,SHK,1,4536396561
202107,ZFS,ZFS,0,8518636918
202107,BVI,HZI,1,9000
202108,IEK,BVI,3,43589564967
202108,KFW,PNA,0,1890764381
202108,KYG,KYG,0,191696362942
202107,SHK,AXQ,4,9000
202107,FLX,IDN,4,1759740373
202107,EEB,IEK,4,9000
202107,SCD,HZO,4,9000
202107,HZO,CVN,0,790409765146
202107,CAZ,IDN,4,448165660
202107,AZR,HZI,0,10737360342
202108,IEK,BVI,1,93292533456
202108,QDF,ZVX,0,21979704397
202107,WZU,SHK,0,14660422596
202108,AXQ,HZI,0,2936708290
202107,SCD,AIG,0,41957875024
202108,RBR,CVN,0,15495505631
202108,SHK,GPM,0,18516373189
202107,SMH,WHF,0,4368017040
202108,FLX,AHN,0,16677153013
202107,XIE,IEK,0,123677010775
202107,IUR,IGI,0,89446086079
202107,RBR,SHK,0,15093969935
202108,KFW,ZFS,4,1171255921
202108,ZDD,HNR,0,2749475027
202107,AHN,AIG,0,111229859059
202107,MIQ,HZO,3,9000
202107,IUR,QDF,4,9000
202107,SHK,HZO,3,9158103989
202107,HQI,KYG,4,9000
202107,QDF,XIE,1,4273857722
202107,YNB,ZFS,0,5912278737
202107,GPM,ZFS,0,9000
202108,MIQ,TGT,1,2943722341
202107,SHK,GPM,0,12201690108
202108,MIQ,HZO,3,9000
202108,KFW,CBX,4,9000
202107,GPM,CBX,0,4125239299
202108,QIM,BVI,0,31902697939
202107,IUR,KYG,4,2756325407
202107,EEB,IEK,0,76669861302
202107,RLM,SHK,0,9000
202107,CBX,IUR,0,959338173428
202107,JVP,JVP,1,16410131711
202107,KYG,SIF,0,141399341369
202107,FLX,ZFS,0,3228558501
202107,KFW,PNA,4,1821979777
202107,QDF,UJN,0,18469111799
202108,RLM,IUR,0,9000
202107,JVP,SHK,0,550882138349
202107,FLX,CBX,1,11593444596
202107,QOB,CBX,0,39628443306
202107,XIE,UXE,0,9000
202107,ZVX,BVI,1,40929461877
202107,MIQ,FLX,1,9000
202108,QDF,EEB,3,9000
202108,JVP,IEK,0,8261268357563
202107,WZU,SHK,0,13526954792
202107,MIQ,HZO,3,3552900180
202108,SHK,DSJ,0,178088375344
202107,SCD,SCD,4,3318326261
202107,XIE,ZVX,0,38285907875
202107,SHK,GPM,1,15150598672
202108,YCA,AXQ,0,3573269496
202107,SCD,CVN,4,9000
202107,XIE,SHK,0,737782697965
202107,CVN,GPM,1,2664095396
202107,CVN,SHK,1,630115799106
202107,AIG,KCK,0,33736765071
202107,SHK,SCD,4,9000
202108,FLX,CBX,1,9000
202107,AXQ,HZI,0,2363920601
202107,EEB,UXE,0,2906137732
202107,FLX,AHN,0,5287039785
202107,CBX,HQI,0,326253921153
202108,BVI,GPM,1,3262927270
202107,ZDD,HZO,4,1938863365
202107,XIE,CBX,4,853361818
202107,XIE,BVI,0,155553843783
202107,SIF,SHK,0,524171150353
202108,KFW,IUR,0,2344123015
202107,UJN,BVI,0,56965851278
202108,SHK,FLX,1,29830913008
202107,GPM,AHN,0,2779498070
202107,QDF,ZDD,1,8220873380
202107,PNA,ZVX,0,909835365
202107,QDF,RII,1,10629915009
202107,SIF,EEB,0,9000
202107,ZDD,CVN,4,3075672665
202107,SHK,TCH,0,112858642655
202107,BVI,GPM,4,9000
202107,KFW,FLX,0,9000
202107,JVP,IEK,0,1027026665631
202108,EEB,ZVX,0,2562729126
202107,ZDD,CVN,4,5830449046
202108,JVP,CBX,3,29921177574
202107,UXE,ZDD,0,4638033972
202108,QIM,SHK,0,23004345484
202107,XIE,CVN,4,9000
202108,SCD,HQI,0,47926277743
202107,JVP,GPM,0,16398718429
202107,QDF,ZVX,1,10115192959
202108,HQI,SHK,0,576967820090
202107,QDF,AXQ,0,9000
202107,JIK,JIK,0,1397104937
202107,ZQS,ZQS,0,9000
202108,HZI,CBX,1,10897665091
202107,HZI,XIE,1,1654676270
202107,RII,CVN,0,295825789264
202108,SCD,IEK,0,62072634139
202107,GPM,AHN,0,4539385823
202108,IUR,SMH,4,571505734
202108,SCD,KYG,0,63123720163
202108,ZDD,HZO,4,2099848393
202107,XIE,SCD,4,1079494981
202107,UJN,CBX,0,17393946277
202107,SHK,CBX,3,894350876192
202107,AHN,HZO,4,9000
202107,SHK,HZO,3,2716440801
202107,QDF,ZVX,0,37830842581
202107,GPM,ZFS,0,1455304516
202107,BVI,SHK,26,2043254813
202107,RBR,SHK,0,6855457958
202107,MIQ,EEB,3,3518230412
202107,JVP,AXQ,4,9000
202107,EEB,ZDD,0,443991895
202108,QIM,CBX,0,20100718284
202107,QDF,SMH,4,9000
202107,WHF,PNA,0,2179326254
202107,JVP,AXQ,0,5891046640
202107,FLX,ZFS,0,2032415880
202107,XIE,IDN,0,50371480031
202107,IUR,AXQ,0,1438734682
202107,IDN,SHK,0,770115607384
202108,HZI,SHK,0,540467970564
202107,XIE,SCD,4,9000
202107,AXQ,HZI,0,6219173336
202107,EEB,IEK,0,164418305885
202108,QDF,XIE,1,2766835698
202107,SMH,ZFS,0,5940661776
202107,AIG,YCA,0,70263362589
202107,FLX,JOR,0,5672748618
202107,IUR,UXE,4,92624575
202108,XIE,AXQ,4,253506152
202107,JVP,GPM,4,2283317281
202107,TGT,IEK,4,1366346302
202108,SCD,IEK,0,109598016064
202107,QOB,BVI,0,36780296476
202107,YCA,IEK,0,92002338168
202107,BVI,CBX,0,247179763351
202108,DSJ,HZI,11,9000
202107,TCH,CBX,1,7856617745
202107,ZDD,HNR,0,2225803761
202107,QDF,IDN,4,1912061727
202107,FLX,BVI,1,35986837572
202107,SCD,KYG,0,101347699793
202107,SSR,ZDD,0,9000
202107,SHK,AXQ,4,9000
202107,CVN,ZDD,0,346020043196
202107,SHK,GPM,4,2611425063
202107,EEB,AIG,0,50578579299
202107,ZDD,ZFS,4,1933738239
202107,ZVX,SCD,4,9000
202107,KYG,HZO,4,2200174888
202107,YCA,QOB,0,560269818
202107,JVP,GPM,1,9000
202107,BVI,FYT,0,360664737652
202107,XIE,IEK,1,23706260914
202108,ZDD,IDN,1,1980722446
202107,BVI,UJN,0,42629893107
202107,ZVX,HZO,4,9000
202108,EEB,QOB,0,15119932209
202107,FLX,XIE,1,4442159623
202107,SHK,HZO,4,1666166168
202107,FLX,ZFS,0,4782617835
202107,MIQ,AHN,3,1200757997
202108,HZI,IUR,3,10346547738
202107,JVP,XIE,1,2472918587
202108,IDN,SHK,0,1071260337187
202107,SMH,YCA,0,28745646204
202107,UJN,BVI,0,30999934104
202108,BVI,SHK,26,1140170416
202107,JVP,SSR,0,12854296882
202107,KFW,FLX,0,2933815607
202107,TZF,IUR,1,7488759388
202107,CBX,WHF,0,11149014985
202107,QDF,RII,1,5076681655
202108,KYG,NXL,4,1468546015
202107,ZDD,HQI,4,9000
202107,KFW,AHN,0,2131664482
202107,IUR,IGI,0,68850021049
202107,QIM,CBX,0,23581075331
202108,ZDD,SCD,0,635475587
202107,IDN,SHK,0,809085503357
202107,SHK,CBX,3,142327842005
202107,JVP,CBX,3,11343777161
202107,SHK,CAZ,3,918058989
202108,CAZ,IUR,11,9000
202107,ZQS,HZI,0,5652642968
202108,TZF,IUR,11,9000
202107,WHF,RII,0,9000
202107,FYT,PNA,0,5224097293
202107,ZDD,AIG,4,9000
202108,IGI,ZVX,4,9000
202107,TGT,SHK,4,9000
202107,TGT,CVN,4,9000
202107,HZI,IUR,1,12370644659
202107,ZVX,GPM,4,2635979764
202107,QDF,GPM,0,3887783617
202107,KCK,SXR,0,2090710574
202107,TGT,CBX,0,273109619713
202107,QDF,CBX,0,69096109963
202107,QIM,IEK,0,34393202862
202107,RBR,EEB,0,12788252242
202107,BVI,RII,0,312368727631
202107,KFW,SCD,0,1648708332
202107,JVP,GPM,0,1108668913
202107,IUR,IGI,0,53647477862
202107,KCK,CVN,0,337283643508
202108,EEB,FLX,4,9000
202107,FYT,WHF,0,3808085633
202107,FLX,HZO,1,7041309618
202107,TZF,IUR,0,9000
202107,TGT,CVN,0,729785537766
202107,YNB,AHN,0,15247774519
202107,BVI,FLX,3,662139202
