WD_YM,UTIZN_CO_APRVNO,CALT_METH_NM,WD_BANKCD,DPOST_BANKCD,TRNSR_REQ_AMT
201901,12000018,익일정산,KFW,CVN,6378422
201901,17000369,익일정산,ZVX,CVN,771208
201901,15201245,익일정산,ZDD,JVP,1184548
201902,12000395,익일정산,QDF,BVI,9451178
201901,14000797,익일정산,YCA,BVI,1958617
201901,12000672,익일정산,SHK,VEA,637939
201901,12001288,익일정산,SHK,VEA,1674923
201901,15201342,익일정산,RII,ZVX,3446193
201902,50000001,익일정산,CAZ,IUR,1000
201902,50000001,익일정산,AHN,ZDD,1000
201901,15200428,익일정산,JOR,SHK,2075391
201901,12000191,익일정산,FLX,VEA,12832098
201901,50000001,익일정산,SHK,BVI,1000
201901,20000132,익일정산,FLX,BVI,1619720
201901,17000369,익일정산,SCD,BVI,1957047
201901,14001787,익일정산,HZI,VEA,1530032
201901,15300100,익일정산,JVP,SHK,623630
201901,12000928,익일정산,IUR,BVI,185326024
201901,17000286,익일정산,QDF,SHK,1822532
201901,12000032,익일정산,VEA,ZVX,9504891
201901,14001538,익일정산,CVN,SHK,1043079
201901,12000333,익일정산,SHK,CVN,28602680
201901,12000717,익일정산,VEA,SHK,17230453
201901,14001701,익일정산,AIG,JVP,31278338
201901,12001039,익일정산,JVP,IEK,34295255
201901,15201487,익일정산,RII,RII,1357708
201901,14001936,익일정산,CAZ,CVN,1000
201901,14001943,익일정산,KFW,BVI,2686720
201901,15200466,익일정산,BVI,CVN,1679666
201901,12000717,익일정산,RII,BVI,186974
201901,14000797,익일정산,FLX,SHK,1000
201901,11001184,익일정산,JVP,IEK,31456830
201901,12000575,익일정산,JVP,CVN,2334806
201901,21800021,익일정산,VEA,SHK,27666147
201902,53000001,익일정산,SHK,QDF,6044211
201901,12000032,익일정산,IUR,VEA,3495782
201901,12001060,익일정산,JVP,SHK,7302
201901,14001569,익일정산,AHN,ZVX,7084679
201901,21000070,익일정산,CBX,BVI,9281664
201901,15200594,익일정산,VEA,VEA,1000
201901,14001635,익일정산,QDF,BVI,2296483
201901,12001295,익일정산,HZO,CVN,1129016
201901,14000780,익일정산,VEA,VEA,16060072
201901,20000132,익일정산,KYG,BVI,155123
201901,51000001,익일정산,IUR,CVN,1000
201901,11001212,익일정산,HZO,VEA,1460500
201901,17000286,익일정산,ZVX,FLX,85505506
201901,20000222,익일정산,IUR,IEK,1760515
201902,12000281,익일정산,BVI,BVI,49920560
201902,17000345,익일정산,FYT,RII,2409036
201902,22000226,익일정산,VEA,VEA,38183668
201901,12000032,익일정산,IEK,ZVX,41609586
201902,12001288,익일정산,JVP,JVP,1000
201901,14001275,익일정산,VEA,SHK,697669
201901,53000001,익일정산,ZDD,RII,1688824
201901,15201342,익일정산,IUR,AHN,1000
201901,15300311,익일정산,ZVX,BVI,958491
201901,14001912,익일정산,IUR,BVI,826137
201901,17000279,익일정산,BVI,BVI,1239206
201901,14001493,익일정산,JVP,VEA,36052911
201901,12001385,익일정산,JVP,BVI,12370700
201901,14000915,익일정산,CAZ,CVN,128608
201901,14000780,익일정산,RII,FYT,1183943
201901,50000001,익일정산,KYG,HZO,611772
201901,17000262,익일정산,IDN,CVN,111182
201902,12000520,익일정산,JVP,IEK,2244275
201901,14001943,익일정산,RBR,BVI,1629034
201901,20000132,익일정산,IUR,VEA,1977280
201902,12001198,익일정산,KFW,BVI,762397
201901,21900042,익일정산,KYG,VEA,1000
201901,11000710,익일정산,IEK,VEA,1047761
201901,11001298,익일정산,CAZ,IEK,30483989
201901,14001365,익일정산,CVN,FYT,2057876
201901,15201155,익일정산,IUR,XIE,1396210
201901,59000001,익일정산,KYG,CAZ,1000
201901,12001257,익일정산,BVI,JVP,841821
201901,20000367,익일정산,CBX,SHK,476568
201901,15600011,익일정산,BVI,BVI,9301232
201901,15200321,익일정산,CVN,IEK,1164370
201901,20000253,익일정산,VEA,CVN,367951
201901,12001295,익일정산,ZVX,SHK,1000
201901,50000001,익일정산,CVN,IUR,729509
201901,12001202,익일정산,ZVX,IEK,9624178
201902,12000032,익일정산,CVN,FYT,1538637
201901,12000852,익일정산,IEK,VEA,10932219
201901,15201342,익일정산,TGT,HZO,928857
201901,50000001,익일정산,ZDD,IUR,1895566
201902,14001417,익일정산,KYG,CVN,15142679
201902,15700018,익일정산,RII,IEK,674583
201902,14001936,익일정산,SCD,BVI,12110322
201902,21900170,익일정산,RII,VEA,53744868
201901,14001936,익일정산,KYG,CVN,1184261
201901,17000352,익일정산,JVP,CVN,1000
201901,23000029,익일정산,VEA,VEA,335305
201901,12000267,익일정산,VEA,VEA,6137125
201901,12000582,익일정산,BVI,JVP,12227531
201901,15201283,익일정산,BVI,BVI,1000
